asana_name,eng_name,level,pose_type,instructions,drishti,cautions,benefits
Supta Padangusthasana,Reclining Big Toe Pose,Beginner,"Binds, Forward Bends",Lie on the back.Inhale and lift the right foot from the floor.Grasp the right big toe with the right thumb and index finger.Gradually straighten the right leg with an exhale.Breathe while holding the pose.,Tip of the nose,Those with limited flexibility should wrap a strap over the sole of the extended foot,"Stretches the hamstrings
Strengthens the spine
Relieves sciatica
Improves circulation to legs and hips"
Supta Virasana,Reclining Hero Pose,Intermediate,"Backbends, Chest Openers","Begin by kneeling and separating your feet as wide as your hips.Exhale and lower your bottom in between your calves.On the next exhalation recline back, lowering your head and back to the floor.Inhale and reach your arms overhead. Grasp opposite elbows.Breathe while holding the pose.",Tip of the nose,"Avoid if you have a knee or back injury.
Widen your knees to relieve any knee pain.","Stretches the abdominal organs
Improves knee flexibility
Opens the heart
Energizes the mind"
Tadasana,Mountain Pose,Beginner,"Balancing, Standing Poses",Stand with your feet together and rest your arms by your sides.Lengthen your spine with an inhale by reaching the crown of your head toward the sky.Point your tailbone toward the floor and draw your shoulders back with an exhale.Breathe while holding the pose.,Tip of the nose,Use caution if you have low blood pressure,"Develops balance between left and right sides of the body
Promotes good posture
Increases body and mind awareness"
Tittibhasana,Firefly Pose,Intermediate,"Arm Balances, Balancing, Core, Hip Openers, Strength",Begin in a squat with the feet wide.Lift the hips and thread the arms between and behind the legs. Place the palms on the floor behind the heels.Lower the hips and shift the body weight back.Inhale and lift the heels from the floor. Extend the legs to the sides.Breathe while holding the pose.Exhale and release the feet to the floor.,Tip of the nose,Avoid if there is wrist or shoulder injury,"Strengthens the shoulders, arms and wrists
Improves balance
Opens the hips
Stretches the inner groin
Improves digestion
Boosts self-confidence"
Urdhva mukha svanasana,Upward-Facing Dog Pose,Beginner,"Backbends, Chest Openers, Strength","This pose is most commonly entered from plank. Begin in plank with the fingers spread wide.Exhale and bend the elbows, lowering the body so that the upper arms are in line with the torso.Inhale and pull the head and torso forward and up, straightening the arms (maintain a slight bend in the elbows). Roll onto the tops of the feet.Breathe while holding the pose.If practicing sun salutations, exhale and push back to downward facing dog.",Third Eye,Keep a slight bend in the elbows to avoid strain and over-stretching.,"Improves posture
Strengthens arms, shoulders, wrists and spine
Brings flexibility in the chest, arms and thighs
Relieves back stiffness
Strengthens and rejuvenates the spine
Improves lung capacity
Improves circulation to the pelvic region"
Ustrasana,Camel Pose,Beginner,"Backbends, Chest Openers",Start in a kneeling position with your knees as wide as your hips. Tuck your toes under.Exhale and lean back. Rest your hands on your heels. Keep your hips over your knees.Breathe normally while holding the pose.,Tip of the nose,Avoid if you have had a back injury.,"Stretches the back and spine
Relieves backache
Improves posture
Relieves constipation"
Utkatasana,Chair Pose,Beginner,"Balancing, Standing Poses, Strength","Begin in mountain pose, with your big toes touching.Inhale, bend your knees slightly and raise your arms above your head.Draw your shoulder blades down and your navel in (do not collapse into the lower back).Lift your chest, lifting through your heart.Breathe as you hold the pose.",Third Eye,"Use caution with recent or chronic injury to the back, hips, knees or shoulders","Strengthens the legs, spine, and ankles
Opens the chest and shoulders
Reduces flat feet"
Uttana Shishosana,Extended Puppy Pose,Beginner,"Backbends, Chest Openers","Begin in tabletop pose with the knees hip distance wide.Exhale and walk the hands far forward, keeping them shoulder distance wide. Keep the hips over the knees.Release the chest toward the floor. If possible, rest the forehead on the floor.Breathe while holding the pose.",Third Eye,Avoid if there is knee injury,"Stretches and lengthens the spine
Stretches the shoulders
Relieves tension and insomnia
Relieves gas"
Uttanasana,Standing Forward Bend,Beginner,"Forward Bends, Standing Poses","Stand in mountain pose with your feet hip distance apart and your hands on your hips.Deeply exhale while you bend forward, hinging at the hips with knees bent slightly.Using both hands, reach to the floor touching palms or fingertips near your feet. Or bend your arms at the elbows and take hold of each elbow with the opposite hand.Deeply inhale in the pose to lift and lengthen your upper body, then exhale to bend and release further.After you hang in the pose for a minute, bring your hands back to your hips, inhale and lift your upper body all the way back up.",Tip of the toes,"Keep your knees slightly bent.
Keep your hips aligned.
Try to avoid rounding the spine.","Lengthens the hamstrings and calves
Strengthens the thighs
Reduces fatigue"
Utthita Ashwa Sanchalanasana,High Lunge Pose,Beginner,"Chest Openers, Hip Openers, Standing Poses, Strength","Begin in standing forward bend with the fingers on the floor beside the feet.Exhale and step the right foot far back. Rest on the ball of the right foot.Inhale and lift the arms and torso, reaching the hands toward the sky. Align the front knee over the ankle and bring the torso vertical.Breathe while holding the pose.Exhale and step back to standing forward bend. Change sides.",Tip of the nose,Avoid if there is knee or hip injury,"Strengthens the legs and arms
Opens the hips
Builds stamina
Relieves constipation and indigestion"
Utthita Hasta Padangusthasana,Extended Hand-to-Big Toe Pose,Intermediate,"Balancing, Hip Openers, Standing Poses","Begin standing.Exhale and lift the right knee toward the chest.Grasp hold of the right big toe with the right thumb and first two fingers.Balance on the left leg, then inhale and stretch the right foot forward and to the right.Breathe while holding the pose.Exhale and release the foot to the floor. Change sides and repeat.",Side,Use the wall as support if you have balance issues,"Stretches the hips and hamstrings
Strengthens the ankle, knee, hip and shoulder joints
Strengthens the core
Builds balance and focus
Calms the mind"
Utthita Parsvakonasana,Extended Side Angle Pose,Intermediate,"Core, Standing Poses, Strength","Begin in warrior two with the right leg bent.Exhale and lean the torso to the right. Rest the right forearm on the right thigh and reach the left arm overhead.To deepen the pose, exhale and lower the right fingertips to the floor. Stretch the left arm alongside the ear so that it's in line with the torso.Breathe while holding the pose.Inhale and return to warrior two. Change sides and repeat.",Toward the sky,Look toward the floor if there is neck pain,"Strengthens the legs, knees and ankles
Strengthens the core 
Stretches the groin and hamstrings
Relieves shoulder stiffness
Relieves sciatica
Improves elimination"
Utthita Trikonasana,Extended Triangle Pose,Beginner,"Hip Openers, Standing Poses","Beginning in mountain pose, turn to the right and step your right foot back about three feet.Pivot your right foot until it is pointing to the back of the mat, while your left foot turns slightly in.Grab your right big toe with your right hand, extend your left hand to the sky.Rotate your left hip up and back.Look up toward your left hand.Breathe as you hold the pose.",Tip of the hand,"For beginners, if there are neck problems focus your gaze forward instead of upwards","Stretches legs, ankle joints, hips, and shoulders
Stretches the side body and hip flexors
Strengthens legs, abdominals, obliques and back
Stimulates energy pathways in the body
Improves digestion
Improves balance and flexibility"
Vajrasana,Thunderbolt Pose,Beginner,Seated Poses,"Kneel with your knees together.Sit back on your heels with an exhale, allowing your toes to touch and heels to widen.Rest your palms on your thighs.Close your eyes and breathe while holding the pose.",Third Eye,Avoid if you have a knee injury,"Improves digestion
Relieves menstrual dicomforts
Activates prana in sushumna nadi
Redirects sexual energy for meditation purposes"
Vasishtasana,Side Plank Pose,Intermediate,"Arm Balances, Balancing, Core, Strength","Begin in plank pose.Exhale and shift the bodyweight to the right hand and edge of the right foot, stacking the left foot on top of the right.Inhale and reach the left hand to the sky. Keep the hips in line with the knees and shoulders.Breathe while holding the pose.",Side,Avoid if there is wrist injury,"Improves balance
Improves focus
Strengthens arms and core
Opens the anahata and manipura chakras"
Viparita Karani,Legs-Up-the-Wall Pose,Beginner,Restorative,Sit in close proximity to a wall.Lower the back and head to the floor.Adjust the body so that the sit bones press against the wall.Raise the legs so that the back of the legs are resting against the wall.Breathe as you hold the pose.,Tip of the nose,Avoid during menstruation,"Relieves anxiety
Relaxeds tired feet and legs
Reduces swelling in the feet
Improves circulation
Relieves lower backache"
Virabhadrasana,Warrior One Pose,Beginner,"Balancing, Standing Poses, Strength","Begin standing. Exhale and step your left foot way back.Place the foot flat on the floor and point the toes 45 degrees to the left.Bend your right knee and align it over your right ankle. Check that your heels are in one line.Inhale and reach your hands up, palms facing each other.Gaze forward and breathe while holding the pose.",Tip of the nose,Avoid if you have had a spinal injury or have high blood pressure.,"Improves strength of the feet, legs, buttocks and core
Builds stamina
Improves coordination"
Virabhadrasana 3,Balancing Stick Pose,Intermediate,"Balancing, Core, Standing Poses, Strength","Begin standing in tadasana with the arms stretched overhead. Interlace the fingers.Exhale and bend at the waist. At the same time, lift the right leg from the floor.Bring the arms, torso and lifted leg parallel to the floor. Gaze downward or slightly ahead.Breathe while holding the pose.Inhale and return to standing. Change sides.",Tip of the hand,Beginners can balance with the arms alongside the body or stretched out to the sides.,"Improves flexibility in the hamstrings, hips and shoulders
Increases core, leg, back, shoulder and arm strength
Opens the chest and lungs
Stimulates the abdominal organs
Reduces anxiety 
Improves focus and memory"
Virabhadrasana 3,Warrior Three Pose,Beginner,"Balancing, Chest Openers, Core, Hip Openers, Standing Poses, Strength","Begin in warrior one pose with the left foot on the floor.Lean the torso forward and step the back foot about a foot.Exhale and bend forward, lifting the back foot from the floor.Stretch the arms to the front. Balance with the lifted leg, torso and arms in one line.Breathe while holding the pose.Change sides.",Tip of the nose,"Avoid this pose if you have high blood pressure, heart problems, or back, leg or hip injuries.","Improved stability
Improved focus and concentration
Improved flexibility in the hamstrings, hips and shoulders
Increased strength in the core muscles, legs, back, shoulders and arms
Opening of the chest and lungs
Stimulation of the abdominal organs
Reduced anxiety due to the calming of the nervous system"
Virabhadrasana B,Warrior Two Pose,Beginner,"Chest Openers, Core, Hip Openers, Standing Poses, Strength",Begin in warrior one pose with the left foot forward.Lower the back heel to the floor and rotate the foot 90 degrees to the right. Keep the left knee over the left ankle.Rotate the hips and torso so they're facing right.Inhale and reach the hands out to the sides.Gaze over the left shoulder.Breathe while holding the pose.Change sides.,Side,"Avoid if you have high blood pressure or recent hip, knee or shoulder injury.","Improves strength and stamina
Builds core strength
Improves flexibility
Opens the chest
Aids healthy digestion
Increases lung function
Improves strength and tone in legs
Improves circulation throughout the body"
Vrksasana,Tree Pose,Beginner,"Balancing, Standing Poses","Stand with your feet together.Inhale and lift your right foot, resting it on the inside of your left thigh.Once you find your balance, reach both arms toward the sky with an inhale and bring your palms together.Focus your gaze straight ahead.Breathe while holding the pose.",Tip of the nose,Do not rest the foot against the knee.,"Tones the legs
Lengthens the spine
Improves balance
Develops concentration"
Vrschikasana,Scorpion Pose,Advanced,"Arm Balances, Backbends, Balancing, Chest Openers, Inversions, Strength",Begin in forearm balance pose.Exhale and bend the knees while lifting the head up and arching the spine. Touch the toes or soles of the feet to the top of the head.Breathe while holding the pose.Inhale and stretch the legs up. Exhale and carefully bring the feet to the floor one at a time.,Tip of the nose,Avoid this pose if there is spinal injury or high blood pressure.,"Strengthens the core, back, arms and shoulders
Expands the lungs
Stretches the abdominal region
Improves spinal elasticity
Brings fresh blood to the brain"
